Date,Win_Score,Lose_Score,Home,Away,WinnerHome,KenPomRank_Away,KenPomVal_Away,BPIrank_Away,BPIval_Away,SRS_Away,o_eff_Away,d_eff_Away,ppg_Away,papg_Away,Pace_Away,Three_Par_Away,True_Shoot_Away,Tov_Away,Opp_Three_Par_Away,Opp_True_Shoot_Away,Opp_Tov_Away,KenPomRank_Home,KenPomVal_Home,BPIrank_Home,BPIval_Home,SRS_Home,o_eff_Home,d_eff_Home,ppg_Home,papg_Home,Pace_Home,Three_Par_Home,True_Shoot_Home,Tov_Home,Opp_Three_Par_Home,Opp_True_Shoot_Home,Opp_Tov_Home
11/13/15,107,80,Eastern Kentucky,Coppin State,1,333,-17.19,339,-12.1,-15.75,92.28,112.1,72.3,80.5,71.4,0.37,0.491,15.2,0.322,0.555,16,201,-3.58,207,-2.3,-3.53,104.74,109.02,80.5,79.1,73.4,0.371,0.597,17.9,0.368,0.565,17.7
11/13/15,116,81,Georgia Tech,Cornell,1,276,-10.34,270,-6.2,-9.55,95.51,107.72,71.1,78.3,72.7,0.407,0.516,16.1,0.356,0.546,16.8,51,14.13,54,8.5,12.51,114.24,95.4,73.3,70.7,67,0.278,0.533,14,0.305,0.525,12.7
11/13/15,84,67,Seton Hall,Dartmouth,1,234,-5.99,197,-1.7,-5.58,97.6,103.92,71.1,71,69.1,0.285,0.526,17.5,0.406,0.55,18.5,29,18.27,33,11,14.66,110.16,88.27,74.2,67.8,70.7,0.297,0.529,16.4,0.33,0.49,16.6
11/13/15,62,56,Delaware State,Delaware,0,275,-10.22,291,-7.6,-8.62,98.19,109.31,66.2,75.7,67.4,0.311,0.498,15.3,0.472,0.548,11.7,350,-24.71,348,-15.1,-20.88,83.71,112.63,61.9,73,67.3,0.385,0.478,17.7,0.422,0.538,16.4
11/13/15,82,81,Saint Joseph's,Drexel,1,245,-7.16,257,-5.2,-5.42,96.7,103.77,63.2,70.4,65.6,0.3,0.484,14.6,0.325,0.557,15.7,43,15.37,51,8.7,12.1,112.75,94.37,77.2,70.1,70.1,0.356,0.548,12.3,0.415,0.508,14.2
11/13/15,106,88,Mississippi State,Eastern Washington,1,197,-3.26,176,-0.7,-4.47,108.92,113.6,81.4,77,70.4,0.465,0.594,14.1,0.273,0.564,14.6,78,9.62,85,5.5,8.18,110.08,96.86,74.9,72.8,70.2,0.362,0.547,15.6,0.339,0.524,15.7
11/13/15,85,74,Charlotte,Elon,0,160,0.2,174,-0.5,-0.67,103.6,103.68,75.9,75.4,71.7,0.456,0.545,15.6,0.306,0.528,14.2,193,-2.84,203,-2.3,-3.14,103.7,106.57,78.3,79.7,72.1,0.337,0.54,14.2,0.337,0.575,16.2
11/13/15,70,57,Yale,Fairfield,1,208,-4.06,194,-1.6,-3.84,101.17,105.55,76.4,77.1,72.2,0.415,0.548,15.7,0.361,0.529,16,47,14.33,36,10.5,9.08,107.91,92.95,74.9,63.8,66.9,0.309,0.555,16.4,0.341,0.501,16
11/13/15,59,41,Navy,Florida,0,35,16.64,38,10.1,14.69,110.33,88.7,74.4,68.9,70.1,0.371,0.516,13.5,0.322,0.503,16,204,-3.68,191,-1.4,-4.99,95.54,100.98,67.6,64.7,64.9,0.265,0.525,16.8,0.415,0.526,17.8
11/13/15,76,59,Iowa,Gardner-Webb,1,236,-6.02,224,-3.1,-6.92,97.13,105.36,75,74.3,71,0.396,0.522,15.6,0.367,0.547,17.1,23,20.24,24,12.9,17.01,116.29,91.08,77.6,69.3,69.1,0.355,0.546,12.6,0.382,0.506,16
11/13/15,61,53,East Carolina,Grambling,1,345,-21.29,342,-12.7,-19.62,83.58,109.76,62.1,68.1,67.2,0.346,0.496,18.5,0.371,0.527,17.5,190,-2.7,198,-1.8,-0.38,103.39,102.79,68.3,71.9,67,0.382,0.524,16.9,0.394,0.534,15.7
11/13/15,93,89,Stanford,Green Bay,1,127,3.74,142,1.3,1.16,105.4,102.16,83.7,80,77.3,0.311,0.533,13.5,0.339,0.546,18.8,101,7.46,127,2.2,8.06,108.57,95.89,69.6,70.4,67.3,0.325,0.521,15,0.381,0.54,17.1
11/13/15,92,83,Central Connecticut,Hartford,0,324,-16.06,320,-9.4,-14.29,96.39,114.93,70.8,78.4,69.9,0.473,0.531,14.9,0.345,0.557,15.9,,,,,,,,,,,,,,,,
11/13/15,77,73,Texas Tech,High Point,1,149,1.54,138,1.6,-0.52,108.33,107.36,77.3,70.6,67.7,0.263,0.569,13.6,0.38,0.548,18.5,54,13.78,57,7.9,12.41,113.17,94.37,72,69.9,66.7,0.304,0.547,15.5,0.378,0.529,15.9
11/13/15,67,64,Marist,Holy Cross,0,285,-11.39,295,-7.7,-11.2,93.4,108.37,64.8,69.9,64.6,0.409,0.515,14.9,0.408,0.563,17.2,307,-13.97,294,-7.7,-11.69,98.75,114.36,71.5,78.7,69,0.424,0.535,15.4,0.351,0.566,14.6
